연번,년도,구분,시도,시군구,설립주체,운영방식,개관년도,도서관명,주소,상세주소,전화번호,팩스,홈페이지,봉사대상지역,대출권수_어린이_총류,대출권수_어린이_철학,대출권수_어린이_종교,대출권수_어린이_사회과학,대출권수_어린이_순수과학,대출권수_어린이_기술과학,대출권수_어린이_예술,대출권수_어린이_언어,대출권수_어린이_문학,대출권수_어린이_역사,대출권수_청소년_총류,대출권수_청소년_철학,대출권수_청소년_종교,대출권수_청소년_사회과학,대출권수_청소년_순수과학,대출권수_청소년_기술과학,대출권수_청소년_예술,대출권수_청소년_언어,대출권수_청소년_문학,대출권수_청소년_역사,대출권수_성인_총류,대출권수_성인_철학,대출권수_성인_종교,대출권수_성인_사회과학,대출권수_성인_순수과학,대출권수_성인_기술과학,대출권수_성인_예술,대출권수_성인_언어,대출권수_성인_문학,대출권수_성인_역사,도서_국내_총류,도서_국내_철학,도서_국내_종교,도서_국내_사회과학,도서_국내_순수과학,도서_국내_기술과학,도서_국내_예술,도서_국내_언어,도서_국내_문학,도서_국내_역사,시설_도서관부지면적,시설_연면적,개관일수,행정구역코드,법정구역코드,AGE,총_국내도서권수,총_대출권수
66,2015,공공(일반),경기도,고양시,지자체,직영,2003,고양시립백석도서관,경기도 고양시 일산동구 일산로,118 (시립백석도서관),031-8075-9090,031-901-4621,http://www.goyanglib.or.kr,고양시 일산동구,1313,708,1099,5392,9718,909,801,4203,23043,5248,651.0,737.0,207.0,1885.0,3096.0,921.0,617.0,1103.0,11509.0,2151.0,5720.0,8385.0,3941.0,22474.0,13918.0,11240.0,5676.0,8613.0,73549.0,15106,8172,7510,4714,26027,12406,11207,7019,5617,49081,12701,4347.0,4070.0,324,31100,41280,13,144454,243933.0
67,2015,공공(일반),경기도,고양시,지자체,직영,2012,고양시립식사도서관,경기도 고양시 일산동구,위시티 2로 43-6 (식사동 1562),031-8075-9190,031-965-5297,www.goyanglib.or.kr,고양시,1551,975,613,4768,8527,1154,729,3578,23947,4838,542.0,529.0,227.0,1547.0,2162.0,1134.0,502.0,1098.0,8931.0,1846.0,3555.0,4467.0,1527.0,13699.0,10112.0,8933.0,3142.0,7613.0,47124.0,10919,3607,2620,1071,8308,4553,4354,2309,2166,21206,5673,2400.0,3776.0,326,31100,41280,4,55867,180289.0
68,2015,공공(일반),경기도,고양시,지자체,직영,2007,고양시립아람누리도서관,경기도 고양시 일산동구 마두동,817번지(중앙로 1286),031-8075-9039,031-901-0294,www.goyanglib.or.kr,고양시 일산동구,1447,1403,559,5819,6449,1499,1438,3177,29328,5356,1228.0,1468.0,541.0,4412.0,4986.0,1544.0,1469.0,2327.0,23603.0,5417.0,10917.0,15032.0,5233.0,38581.0,17977.0,20104.0,18659.0,14530.0,121491.0,30522,7720,7780,4299,27946,11486,10291,10401,6242,54399,14410,11118.0,4457.0,323,31100,41280,9,154974,396516.0
69,2015,공공(일반),경기도,고양시,지자체,직영,2008,고양시립풍동도서관,경기도 고양시 일산동구 숲속마을로,108,031-8075-9148,031-901-8317,http://www.goyanglib.or.kr,고양시,2850,4202,2353,19184,11580,6144,3030,4471,56064,11490,493.0,727.0,407.0,3321.0,2004.0,1063.0,524.0,774.0,9710.0,1989.0,1265.0,1865.0,1044.0,8514.0,5139.0,2727.0,1345.0,1984.0,24886.0,5099,4383,4352,2399,17430,6941,5575,4279,3583,31556,8861,59109.0,1574.0,324,31100,41280,8,89359,196248.0
70,2015,공공(일반),경기도,고양시,지자체,직영,2008,고양시립대화도서관,경기도 고양시 일산서구 일산로,689 (대화도서관),031-8075-9122,031-911-4276,http://www.goyanglib.or.kr,고양시,1316,1296,1469,8291,12097,1281,1226,7844,32006,5188,1099.0,2343.0,949.0,5372.0,4709.0,2365.0,2220.0,1662.0,23450.0,4290.0,5853.0,11848.0,4821.0,30179.0,15049.0,13598.0,8402.0,11773.0,83121.0,19610,5211,7511,4198,24953,9527,8401,6054,4773,45194,11266,3944.0,3892.0,324,31100,41280,8,127088,324727.0
71,2015,공공(일반),경기도,고양시,지자체,직영,2012,고양시립덕이도서관,경기도 고양시 일산서구,하이파크로 128,031-8075-9316,031-911-2936,www.goyanglib.or.kr,고양시,1453,911,799,4896,7873,988,811,2473,20953,5105,561.0,563.0,118.0,1364.0,1379.0,582.0,401.0,565.0,7211.0,1626.0,3314.0,3968.0,1560.0,13490.0,7777.0,6524.0,2899.0,4720.0,40594.0,13404,3022,2358,978,7851,3833,3133,2135,1674,20607,6082,45821.0,3026.0,324,31100,41280,4,51673,158882.0
73,2015,공공(일반),경기도,고양시,지자체,직영,2008,고양시립한뫼도서관,경기도 고양시 일산서구 탄중로,"284 (일산동, 한뫼도서관)",031-8075-9115,031-975-1952,http://www.goyanglib.or.kr,고양시,1563,1566,512,7295,9908,1476,964,4194,35363,6883,645.0,862.0,230.0,2807.0,2573.0,1081.0,1080.0,1124.0,13373.0,2526.0,5956.0,10225.0,4075.0,29210.0,13871.0,11635.0,6839.0,10948.0,89006.0,19045,6059,6762,3653,24169,11060,9226,5867,3839,47249,11008,26167.0,4160.0,326,31100,41280,8,128892,296835.0
74,2015,공공(일반),경기도,과천시,교육청,직영,1984,경기도립과천도서관,경기도 과천시 도서관길,36 (경기도립도서관),02-3677-0371~2,02-507-5895,http://www.kwalib.kr,과천시,3264,1804,1122,5743,10833,2010,3000,1692,38757,6056,611.0,874.0,213.0,2103.0,2054.0,1084.0,2296.0,353.0,11509.0,1654.0,5070.0,10567.0,4094.0,23787.0,4341.0,13837.0,18404.0,4936.0,50999.0,13767,12273,13161,9025,54313,16810,19485,13129,11215,94388,22764,16404.0,5586.0,298,31110,41290,32,266563,246834.0
75,2015,공공(일반),경기도,과천시,지자체,직영,2012,과천시문원도서관,경기도 과천시 문원로,104,02-2150-3080,02-507-8623,http://www.gclib.go.kr,과천시,930,840,615,5335,6348,687,935,2830,26091,4962,293.0,238.0,150.0,560.0,365.0,536.0,450.0,500.0,3532.0,1130.0,1000.0,1500.0,234.0,3001.0,600.0,2400.0,1428.0,1832.0,8244.0,2637,2063,2136,1075,8108,3485,3153,2294,2365,17100,4123,1255.0,2537.98,300,31110,41290,4,45902,80203.0
76,2015,공공(일반),경기도,과천시,지자체,직영,2002,과천시정보과학도서관,경기도 과천시 갈현동,677,02-2150-3008,02-507-8576,http://www.gclib.go.kr,과천시,3370,2016,1229,12206,19249,2370,2302,6364,92411,15665,359.0,567.0,79.0,1330.0,916.0,726.0,764.0,343.0,8889.0,1004.0,6225.0,8850.0,3425.0,23118.0,4470.0,16530.0,8390.0,6619.0,60416.0,13659,13180,15593,10595,60825,17507,26346,17294,12803,92600,24112,24080.0,10027.0,299,31110,41290,14,290855,323861.0
77,2015,공공(일반),경기도,광명시,지자체,직영,2004,광명시중앙도서관,경기도 광명시 원광명안로,48 (광명시중앙도서관),02-2680-5411,02-2680-6531,www.gmlib.or.kr,경기도 광명시,1406,1561,1008,7628,7214,2340,1397,2860,29029,6134,457.0,650.0,222.0,1922.0,834.0,929.0,541.0,555.0,5344.0,960.0,5885.0,6893.0,3368.0,22022.0,7771.0,11362.0,5111.0,6311.0,52692.0,12072,11281,14593,11870,54007,15185,24332,15074,13288,74840,18996,5027.0,9965.63,298,31060,41210,12,253466,206478.0
78,2015,공공(일반),경기도,광명시,지자체,직영,2013,광명시철산도서관,경기도 광명시 철산로,56,02-2680-5593,02-2680-6826,http://www.gmlib.or.kr,광명시,4055,2717,882,19417,18884,3862,2957,13053,69753,16756,847.0,1271.0,273.0,3420.0,1673.0,1487.0,1140.0,1120.0,10171.0,1808.0,12393.0,12928.0,4992.0,47549.0,20563.0,19882.0,9840.0,19303.0,109164.0,29173,4665,6344,4234,20330,7581,9076,5455,4534,36302,10290,2950.0,8509.0,299,31060,41210,3,108811,461333.0
80,2015,공공(일반),경기도,광명시,지자체,직영,1993,광명시하안도서관,경기도 광명시,철망산로 46 (하안도서관),02-2680-5462,02-2680-2877,http://gmlib.or.kr,광명시,3303,3366,1355,14685,16725,5310,3133,4092,71335,13772,846.0,1527.0,424.0,3940.0,2025.0,1909.0,1303.0,832.0,13834.0,2173.0,11058.0,13176.0,6127.0,43237.0,17852.0,22540.0,9288.0,10481.0,121504.0,24576,13508,18073,12854,63404,16636,26702,15100,13758,95652,24025,2970.0,8029.0,300,31060,41210,23,299712,445728.0
81,2015,공공(일반),경기도,광주시,교육청,직영,1990,경기도립광주도서관,경기도 광주시 경안안길58번길,3 (광주도서관),031-768-6921,031-768-6925,http://www.gjlib.or.kr,경기도 광주시,1872,884,998,4414,5069,1327,1720,1792,14821,3584,169.0,182.0,45.0,533.0,445.0,235.0,417.0,219.0,2459.0,418.0,1038.0,1364.0,566.0,3596.0,2217.0,1597.0,4496.0,1446.0,13703.0,2447,7756,6382,4134,17378,6991,8868,5058,5470,41993,9911,690.0,1196.0,298,31250,41610,26,113941,74073.0
82,2015,공공(일반),경기도,광주시,지자체,직영,2010,곤지암도서관(구 실촌도서관),경기도 광주시 곤지암로11번길,47 (곤지암공공도서관),031-760-5666,031-760-1452,http://lib.gjcity.go.kr,경기도 광주시,575,266,257,1621,2083,547,441,323,6348,1043,870.0,421.0,126.0,3188.0,1471.0,1148.0,346.0,198.0,4617.0,1216.0,5740.0,3064.0,1443.0,14136.0,9230.0,6285.0,1609.0,1334.0,25862.0,7166,3719,3470,1582,9510,7068,3768,3218,2154,23557,5397,3958.0,1614.0,298,31250,41610,6,63443,102974.0
83,2015,공공(일반),경기도,광주시,지자체,직영,2007,광주시립도서관,경기도 광주시 문화로,82 (시립도서관),031-760-5678,031-760-1435,http://lib.gjcity.go.kr,광주시,3174,2038,1209,7802,6499,2620,1655,3601,32308,5696,1698.0,1557.0,532.0,3975.0,2557.0,2038.0,1392.0,1235.0,17141.0,2892.0,14633.0,10726.0,5909.0,30987.0,12940.0,17408.0,8709.0,10323.0,104413.0,19613,11122,13165,7984,47100,18214,16756,11057,9213,91465,24640,7726.0,4826.0,298,31250,41610,9,250716,337280.0
84,2015,공공(일반),경기도,광주시,지자체,직영,2010,오포도서관,경기도 광주시 오포로,885 (오포공공도서관),031-760-5697,031-760-1451,http://lib.gjcity.go.kr,광주시,2183,956,583,4276,5732,1956,1020,1983,18470,4564,1194.0,576.0,148.0,1528.0,1464.0,914.0,433.0,581.0,6187.0,1413.0,5510.0,2867.0,927.0,9441.0,8036.0,5693.0,2222.0,2889.0,40253.0,8201,3562,3230,1295,10840,5760,4386,3671,1973,24945,6235,2566.0,1580.0,300,31250,41610,6,65897,142200.0
85,2015,공공(일반),경기도,광주시,지자체,직영,2013,초월도서관,경기도 광주시 무들로,3-26(대쌍령리 253-15번지),031-760-5688,031-760-1453,http://lib.gjcity.go.kr/,광주시,1859,1026,1588,7377,8930,1458,796,3123,22100,5387,160.0,231.0,77.0,630.0,412.0,343.0,223.0,177.0,2269.0,393.0,3976.0,3360.0,2372.0,14540.0,11843.0,6136.0,2628.0,6023.0,40296.0,9381,2602,2203,1233,10216,5848,3006,2089,1304,20143,5155,4427.0,2946.0,300,31250,41610,3,53799,159114.0
86,2015,공공(일반),경기도,구리시,지자체,직영,1994,구리시교문도서관,경기도 구리시 교문동,747-2,031-550-2593,031-550-2595,htty://www.gurilib.go.kr,구리시,1505,1288,1095,4821,5755,1490,1252,2768,25826,5127,1234.0,2160.0,1067.0,3795.0,1250.0,2462.0,1731.0,1324.0,9385.0,2369.0,2881.0,5042.0,2492.0,8851.0,2919.0,5747.0,4039.0,3089.0,21899.0,5527,8242,8201,5842,26362,9892,10795,9226,6790,64512,13916,1668.0,2855.0,332,31120,41310,22,163778,140190.0
87,2015,공공(일반),경기도,구리시,지자체,직영,2010,구리시립토평도서관,경기 구리시 토평동,956번지,031-550-8325,031-550-8326,http://www.gurilib.go.kr,경기도 구리시,3406,2459,2628,11406,19628,2567,2847,9622,61648,17692,757.0,1383.0,490.0,3145.0,801.0,2202.0,1523.0,1036.0,7600.0,1938.0,3029.0,5540.0,1962.0,12581.0,3204.0,8809.0,6092.0,4146.0,31595.0,7750,5925,5961,3657,19675,10028,8055,5985,4620,48540,11155,6013.0,6388.0,324,31120,41310,6,123601,239486.0
88,2015,공공(일반),경기도,구리시,지자체,직영,2003,구리시인창도서관,경기도 구리시 건원대로34번길,90 (구리시인창도서관),031-550-2936,031-550-2939,https://www.gurilib.go.kr/inlib/,구리시,3918,3240,3167,15714,15850,4292,3562,6773,53148,14113,4035.0,3511.0,2135.0,7428.0,5507.0,6266.0,5173.0,5841.0,21084.0,5716.0,8071.0,7024.0,4272.0,14858.0,11016.0,12534.0,10348.0,11684.0,42168.0,11433,8147,9064,5830,32895,14950,13332,11240,8557,71935,16223,5880.0,7868.58,326,31120,41310,13,192173,323881.0
89,2015,공공(일반),경기도,군포시,지자체,직영,2013,군포부곡도서관,경기도 군포시 송부로221번길,3-10 군포부곡도서관,031-390-4094,031-461-0730,http://www.gunpolib.or.kr,경기도,1964,234,408,3270,4051,284,331,1604,11155,2234,122.0,287.0,29.0,554.0,436.0,370.0,199.0,115.0,1988.0,192.0,5740.0,3434.0,1527.0,14207.0,9100.0,7271.0,2561.0,6324.0,37272.0,8927,2830,2349,1094,7865,3397,3428,3635,2032,18851,4233,2360.0,2010.21,298,31160,41410,3,49714,126190.0
90,2015,공공(일반),경기도,군포시,지자체,직영,1993,군포시 당동도서관,경기도 군포시 산본로197번길,36 (당동도서관),031-390-8810,031-390-8829,www.gunpolib.or.kr,경기도,401,224,186,1003,945,120,122,409,3862,681,69.0,163.0,38.0,526.0,395.0,263.0,185.0,76.0,1916.0,311.0,2802.0,3463.0,1585.0,10176.0,3599.0,4898.0,1921.0,2528.0,28769.0,5579,5434,5565,3364,19897,8271,9053,5677,4585,44217,9340,1037.0,1768.32,357,31160,41410,23,115403,77215.0
91,2015,공공(일반),경기도,군포시,지자체,직영,2003,군포시 대야도서관,경기도 군포시 대야2로,139,031-390-8665,031-390-8675,http://www.gunpolib.or.kr,경기도,612,364,432,2553,2723,321,308,1363,7120,1755,52.0,88.0,18.0,267.0,251.0,94.0,202.0,72.0,1100.0,237.0,3153.0,3371.0,2364.0,11822.0,7120.0,6005.0,3300.0,6231.0,35685.0,7679,4744,4848,3259,17254,8920,7654,5323,5171,39211,9635,1453.0,1569.0,357,31160,41410,13,106019,106662.0
92,2015,공공(일반),경기도,군포시,지자체,직영,1994,군포시 산본도서관,경기도 군포시,광정로 96 (산본동),031-395-4316,031-395-4317,www.gunpolib.or.kr,경기도,2074,765,1142,10623,13414,904,1135,5856,29124,6881,568.0,1032.0,175.0,2242.0,1793.0,1116.0,949.0,489.0,9232.0,1426.0,14907.0,15431.0,7445.0,51607.0,29442.0,24470.0,11574.0,21583.0,138379.0,34317,11524,9637,7042,38605,14426,15849,10327,8516,69778,18412,6200.0,3586.71,298,31160,41410,22,204116,440095.0
94,2015,공공(일반),경기도,군포시,지자체,직영,2008,군포시 중앙도서관,경기도 군포시 수리산로,79 (군포시중앙도서관),031-390-8866,031-390-8867,http://www.gunpolib.or.kr/,경기도,4234,943,857,9264,9715,758,956,5776,24674,6150,550.0,698.0,142.0,1552.0,1396.0,936.0,806.0,517.0,7010.0,1110.0,23963.0,17605.0,8357.0,62709.0,32697.0,26846.0,13871.0,28985.0,147878.0,38987,17881,15110,8256,57290,21210,20809,13335,14051,91696,24806,10730.0,12268.0,300,31160,41410,8,284444,479942.0
95,2015,공공(일반),경기도,김포시,교육청,직영,1985,경기도립김포도서관,경기도 김포시 봉화로,68 (경기도립김포도서관),031-985-3536,031-983-3536,www.gimpolib.or.kr,경기도 김포시,204,189,159,1146,1882,398,234,517,5387,1203,169.0,201.0,81.0,590.0,343.0,506.0,208.0,162.0,2604.0,597.0,1259.0,2049.0,782.0,5200.0,3744.0,3022.0,2542.0,1659.0,20223.0,4252,4635,4951,3401,17034,7889,7237,5450,5023,44520,10487,560.0,1209.0,299,31230,41570,31,110627,61512.0
96,2015,공공(일반),경기도,김포시,지자체,위탁,2009,김포시 통진도서관,경기 김포시 통진읍 서암리,840-6,070-4912-1848,031-996-0757,http://lib.gimpo.go.kr,통진읍.하성면.월곶면.대곶면,1497,928,742,4470,5866,1585,1292,2924,27028,5151,313.0,290.0,234.0,1069.0,932.0,615.0,324.0,322.0,3554.0,933.0,11869.0,10918.0,6716.0,32154.0,15201.0,15586.0,9738.0,12518.0,104568.0,23602,5236,4898,3088,15909,6257,8719,4255,3472,34371,8680,6313.0,4080.0,325,31230,41570,7,94885,302939.0
97,2015,공공(일반),경기도,김포시,지자체,직영,2012,양곡도서관,경기도 김포시 양곡4로197번길,40,031-980-5414,031-981-7693,http://lib.gimpo.go.kr,김포시,4195,2176,2917,12899,13373,2050,1482,2109,75329,9866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.0,4919.0,1419.0,11321.0,1955.0,10426.0,2784.0,1788.0,25539.0,5460,2515,2977,1217,8269,3313,3725,2011,1085,21865,4504,2095.0,1702.0,325,31230,41570,4,51481,194696.0
98,2015,공공(일반),경기도,김포시,지자체,직영,1998,중봉도서관,경기도 김포시 봉화로130번길,26 (김포시중봉도서관),031-980-5186~95,031-980-5199,http://lib.gimpo.go.kr,김포시,12392,5865,5085,28205,31093,6306,4266,11213,122380,22134,809.0,911.0,428.0,3661.0,1760.0,1776.0,900.0,761.0,9770.0,1881.0,4774.0,8379.0,3022.0,20805.0,2724.0,14626.0,6483.0,4321.0,52735.0,8918,14999,13046,7616,49573,19071,20593,14431,8672,120802,24832,3816.0,4932.0,326,31230,41570,18,293635,398383.0
99,2015,공공(일반),경기도,남양주시,지자체,직영,1993,남양주시도농도서관,경기도 남양주시 도농동,산53-1,031-590-2586,031-590-2588,http://lib.nyj.go.kr,남양주시,58,13,28,78,267,25,9,67,376,180,115.0,192.0,20.0,439.0,471.0,197.0,175.0,48.0,1817.0,190.0,5497.0,6525.0,2993.0,18720.0,18542.0,8945.0,4251.0,7066.0,68009.0,16490,7905,9030,4317,24080,9777,10776,8177,6262,61364,14461,2186.0,2374.0,361,31130,41360,23,156149,161803.0
100,2015,공공(일반),경기도,남양주시,지자체,직영,2008,남양주시별내도서관,경기도 남양주시 청학로,86-1 (별내도서관),031-590-8805,031-590-8809,http://lib.nyj.go.kr/bnae/index.jsp,남양주시 별내면,231,79,39,257,654,82,62,144,1327,401,264.0,185.0,54.0,564.0,737.0,320.0,169.0,124.0,2320.0,451.0,5840.0,5244.0,3165.0,16072.0,14138.0,6801.0,3144.0,5722.0,51267.0,11901,6597,5007,3914,16826,10068,6236,5303,4008,37741,9875,2501.0,3215.0,363,31130,41360,8,105575,131758.0
101,2015,공공(일반),경기도,남양주시,지자체,직영,2010,남양주시오남도서관,경기 남양주시 오남읍 양지리,512-29,031-590-8531,031-590-8549,http://www.nyj.go.kr,남양주시,315,194,204,861,622,287,168,541,2449,637,128.0,148.0,49.0,442.0,394.0,281.0,231.0,288.0,1928.0,260.0,8011.0,5596.0,2314.0,22793.0,16140.0,8745.0,3860.0,8583.0,69944.0,9068,5354,3955,2008,14661,6003,5567,3743,2299,27948,7804,3000.0,5465.0,356,31130,41360,6,79342,165481.0
102,2015,공공(일반),경기도,남양주시,지자체,직영,2009,남양주시와부도서관,경기도 남양주시 월문천로,43 (와부도서관),031-590-8920~21,031-590-8919,http://www.nyj.go.kr/,남양주시와부읍,277,87,91,459,1003,103,175,208,2622,715,456.0,420.0,100.0,781.0,1039.0,498.0,405.0,235.0,4188.0,816.0,10623.0,7647.0,4390.0,30249.0,25692.0,11210.0,7038.0,8524.0,111678.0,26749,6492,4931,2993,15815,7428,5598,4209,2995,35427,9248,3920.0,4010.0,362,31130,41360,7,95136,258478.0
103,2015,공공(일반),경기도,남양주시,지자체,직영,2006,남양주시진건도서관,경기도 남양주시 진건오남로,41- 25 (진건도서관),031-590-8253,031-590-8259,http://lib.nyj.go.kr,남양주시,42,3,23,50,68,21,2,23,205,84,120.0,120.0,12.0,275.0,295.0,133.0,150.0,45.0,1347.0,243.0,3754.0,4485.0,2040.0,12207.0,5483.0,6395.0,3152.0,2984.0,31522.0,7142,7017,5480,3668,16600,7200,7013,4977,3739,34410,9812,1322.0,2846.64,363,31130,41360,10,99916,82425.0
104,2015,공공(일반),경기도,남양주시,지자체,직영,2013,남양주시진접도서관,경기도 남양주시 금강로,1554-11 (진접도서관),"031-590-5310,5316",031-590-5309,http://lib.nyj.go.kr/jinjeop/index.jsp,진접읍,264,222,111,661,1267,174,107,380,2669,1024,137.0,370.0,29.0,619.0,606.0,488.0,479.0,279.0,2749.0,437.0,4374.0,5284.0,2291.0,15276.0,12436.0,7546.0,3393.0,6541.0,49831.0,11277,2811,3067,1450,9521,4028,3533,2374,949,18068,4104,3250.0,4426.0,362,31130,41360,3,49905,131321.0
